# Athena++ data at time=1.000000e-01  cycle=242  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3         Bcc1         Bcc2         Bcc3     
0042 -3.41797e-01  1.00000e+00  1.00000e+00  5.51750e-10 -1.76532e-10  0.00000e+00  7.50000e-01  1.00000e+00  0.00000e+00
0043 -3.37891e-01  1.00000e+00  1.00000e+00  1.13383e-09 -3.62766e-10  0.00000e+00  7.50000e-01  1.00000e+00  0.00000e+00
0044 -3.33984e-01  1.00000e+00  1.00000e+00  2.30239e-09 -7.36646e-10  0.00000e+00  7.50000e-01  1.00000e+00  0.00000e+00
0045 -3.30078e-01  1.00000e+00  1.00000e+00  4.61946e-09 -1.47799e-09  0.00000e+00  7.50000e-01  1.00000e+00  0.00000e+00
0046 -3.26172e-01  1.00000e+00  1.00000e+00  9.15655e-09 -2.92962e-09  0.00000e+00  7.50000e-01  1.00000e+00  0.00000e+00
0047 -3.22266e-01  1.00000e+00  1.00000e+00  1.79288e-08 -5.73629e-09  0.00000e+00  7.50000e-01  1.00000e+00  0.00000e+00
0048 -3.18359e-01  1.00000e+00  1.00000e+00  3.46733e-08 -1.10937e-08  0.00000e+00  7.50000e-01  1.00000e+00  0.00000e+00
0049 -3.14453e-01  1.00000e+00  1.00000e+00  6.62232e-08 -2.11880e-08  0.00000e+00  7.50000e-01  1.00000e+00  0.00000e+00
0050 -3.10547e-01  1.00000e+00  1.00000e+00  1.24894e-07 -3.99596e-08  0.00000e+00  7.50000e-01  1.00000e+00  0.00000e+00
0051 -3.06641e-01  1.00000e+00  1.00000e+00  2.32558e-07 -7.44065e-08  0.00000e+00  7.50000e-01  1.00000e+00  0.00000e+00
0052 -3.02734e-01  1.00000e+00  1.00000e+00  4.27487e-07 -1.36774e-07  0.00000e+00  7.50000e-01  1.00000e+00  0.00000e+00
0053 -2.98828e-01  1.00000e+00  9.99999e-01  7.75633e-07 -2.48163e-07  0.00000e+00  7.50000e-01  9.99999e-01  0.00000e+00
0054 -2.94922e-01  9.99999e-01  9.99999e-01  1.38890e-06 -4.44376e-07  0.00000e+00  7.50000e-01  9.99999e-01  0.00000e+00
0055 -2.91016e-01  9.99999e-01  9.99998e-01  2.45417e-06 -7.85209e-07  0.00000e+00  7.50000e-01  9.99998e-01  0.00000e+00
0056 -2.87109e-01  9.99997e-01  9.99996e-01  4.27852e-06 -1.36891e-06  0.00000e+00  7.50000e-01  9.99997e-01  0.00000e+00
0057 -2.83203e-01  9.99996e-01  9.99993e-01  7.35823e-06 -2.35427e-06  0.00000e+00  7.50000e-01  9.99995e-01  0.00000e+00
0058 -2.79297e-01  9.99993e-01  9.99988e-01  1.24818e-05 -3.99356e-06  0.00000e+00  7.50000e-01  9.99991e-01  0.00000e+00
0059 -2.75391e-01  9.99988e-01  9.99980e-01  2.08803e-05 -6.68072e-06  0.00000e+00  7.50000e-01  9.99985e-01  0.00000e+00
0060 -2.71484e-01  9.99980e-01  9.99966e-01  3.44418e-05 -1.10198e-05  0.00000e+00  7.50000e-01  9.99975e-01  0.00000e+00
0061 -2.67578e-01  9.99967e-01  9.99945e-01  5.60084e-05 -1.79204e-05  0.00000e+00  7.50000e-01  9.99959e-01  0.00000e+00
0062 -2.63672e-01  9.99947e-01  9.99912e-01  8.97779e-05 -2.87258e-05  0.00000e+00  7.50000e-01  9.99935e-01  0.00000e+00
0063 -2.59766e-01  9.99917e-01  9.99861e-01  1.41829e-04 -4.53816e-05  0.00000e+00  7.50000e-01  9.99897e-01  0.00000e+00
0064 -2.55859e-01  9.99870e-01  9.99784e-01  2.20788e-04 -7.06492e-05  0.00000e+00  7.50000e-01  9.99839e-01  0.00000e+00
0065 -2.51953e-01  9.99801e-01  9.99669e-01  3.38636e-04 -1.08365e-04  0.00000e+00  7.50000e-01  9.99754e-01  0.00000e+00
0066 -2.48047e-01  9.99700e-01  9.99500e-01  5.11654e-04 -1.63747e-04  0.00000e+00  7.50000e-01  9.99628e-01  0.00000e+00
0067 -2.44141e-01  9.99553e-01  9.99256e-01  7.61469e-04 -2.43726e-04  0.00000e+00  7.50000e-01  9.99446e-01  0.00000e+00
0068 -2.40234e-01  9.99345e-01  9.98909e-01  1.11613e-03 -3.57303e-04  0.00000e+00  7.50000e-01  9.99188e-01  0.00000e+00
0069 -2.36328e-01  9.99055e-01  9.98426e-01  1.61111e-03 -5.15881e-04  0.00000e+00  7.50000e-01  9.98828e-01  0.00000e+00
0070 -2.32422e-01  9.98657e-01  9.97764e-01  2.29017e-03 -7.33547e-04  0.00000e+00  7.50000e-01  9.98334e-01  0.00000e+00
0071 -2.28516e-01  9.98120e-01  9.96871e-01  3.20579e-03 -1.02725e-03  0.00000e+00  7.50000e-01  9.97668e-01  0.00000e+00
0072 -2.24609e-01  9.97409e-01  9.95689e-01  4.41924e-03 -1.41685e-03  0.00000e+00  7.50000e-01  9.96786e-01  0.00000e+00
0073 -2.20703e-01  9.96483e-01  9.94151e-01  5.99990e-03 -1.92495e-03  0.00000e+00  7.50000e-01  9.95636e-01  0.00000e+00
0074 -2.16797e-01  9.95298e-01  9.92184e-01  8.02404e-03 -2.57658e-03  0.00000e+00  7.50000e-01  9.94165e-01  0.00000e+00
0075 -2.12891e-01  9.93807e-01  9.89713e-01  1.05728e-02 -3.39864e-03  0.00000e+00  7.50000e-01  9.92312e-01  0.00000e+00
0076 -2.08984e-01  9.91961e-01  9.86660e-01  1.37295e-02 -4.41914e-03  0.00000e+00  7.50000e-01  9.90017e-01  0.00000e+00
0077 -2.05078e-01  9.89714e-01  9.82949e-01  1.75770e-02 -5.66638e-03  0.00000e+00  7.50000e-01  9.87222e-01  0.00000e+00
0078 -2.01172e-01  9.87020e-01  9.78512e-01  2.21940e-02 -7.16803e-03  0.00000e+00  7.50000e-01  9.83869e-01  0.00000e+00
0079 -1.97266e-01  9.83840e-01  9.73287e-01  2.76525e-02 -8.95021e-03  0.00000e+00  7.50000e-01  9.79907e-01  0.00000e+00
0080 -1.93359e-01  9.80140e-01  9.67226e-01  3.40148e-02 -1.10367e-02  0.00000e+00  7.50000e-01  9.75292e-01  0.00000e+00
0081 -1.89453e-01  9.75893e-01  9.60294e-01  4.13313e-02 -1.34484e-02  0.00000e+00  7.50000e-01  9.69990e-01  0.00000e+00
0082 -1.85547e-01  9.71082e-01  9.52471e-01  4.96393e-02 -1.62028e-02  0.00000e+00  7.50000e-01  9.63977e-01  0.00000e+00
0083 -1.81641e-01  9.65699e-01  9.43753e-01  5.89624e-02 -1.93135e-02  0.00000e+00  7.50000e-01  9.57237e-01  0.00000e+00
0084 -1.77734e-01  9.59741e-01  9.34151e-01  6.93103e-02 -2.27909e-02  0.00000e+00  7.50000e-01  9.49768e-01  0.00000e+00
0085 -1.73828e-01  9.53218e-01  9.23691e-01  8.06799e-02 -2.66415e-02  0.00000e+00  7.50000e-01  9.41576e-01  0.00000e+00
0086 -1.69922e-01  9.46144e-01  9.12409e-01  9.30564e-02 -3.08689e-02  0.00000e+00  7.50000e-01  9.32675e-01  0.00000e+00
0087 -1.66016e-01  9.38541e-01  9.00354e-01  1.06415e-01 -3.54737e-02  0.00000e+00  7.50000e-01  9.23088e-01  0.00000e+00
0088 -1.62109e-01  9.30435e-01  8.87580e-01  1.20722e-01 -4.04545e-02  0.00000e+00  7.50000e-01  9.12844e-01  0.00000e+00
0089 -1.58203e-01  9.21856e-01  8.74150e-01  1.35938e-01 -4.58076e-02  0.00000e+00  7.50000e-01  9.01977e-01  0.00000e+00
0090 -1.54297e-01  9.12838e-01  8.60129e-01  1.52018e-01 -5.15281e-02  0.00000e+00  7.50000e-01  8.90523e-01  0.00000e+00
0091 -1.50391e-01  9.03417e-01  8.45585e-01  1.68913e-01 -5.76103e-02  0.00000e+00  7.50000e-01  8.78522e-01  0.00000e+00
0092 -1.46484e-01  8.93627e-01  8.30586e-01  1.86574e-01 -6.40475e-02  0.00000e+00  7.50000e-01  8.66014e-01  0.00000e+00
0093 -1.42578e-01  8.83506e-01  8.15199e-01  2.04948e-01 -7.08329e-02  0.00000e+00  7.50000e-01  8.53041e-01  0.00000e+00
0094 -1.38672e-01  8.73089e-01  7.99489e-01  2.23984e-01 -7.79593e-02  0.00000e+00  7.50000e-01  8.39642e-01  0.00000e+00
0095 -1.34766e-01  8.62413e-01  7.83521e-01  2.43629e-01 -8.54199e-02  0.00000e+00  7.50000e-01  8.25857e-01  0.00000e+00
0096 -1.30859e-01  8.51511e-01  7.67353e-01  2.63835e-01 -9.32076e-02  0.00000e+00  7.50000e-01  8.11726e-01  0.00000e+00
0097 -1.26953e-01  8.40417e-01  7.51045e-01  2.84549e-01 -1.01316e-01  0.00000e+00  7.50000e-01  7.97286e-01  0.00000e+00
0098 -1.23047e-01  8.29165e-01  7.34649e-01  3.05723e-01 -1.09737e-01  0.00000e+00  7.50000e-01  7.82572e-01  0.00000e+00
0099 -1.19141e-01  8.17785e-01  7.18219e-01  3.27307e-01 -1.18465e-01  0.00000e+00  7.50000e-01  7.67620e-01  0.00000e+00
0100 -1.15234e-01  8.06308e-01  7.01802e-01  3.49251e-01 -1.27492e-01  0.00000e+00  7.50000e-01  7.52465e-01  0.00000e+00
